# variety ghosts halo streak chroma intensity  u v sunU sunV visibility  r g b
# generated by Project-Zero; checked against the reference lensFlare() by CheckLensFlare.py
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 -0.220000 0.000000 0.000000 1.000000  0.01849043 0.01665558 0.01480654
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 -0.220000 0.000000 0.000000 1.000000  0.02431460 0.02188313 0.01945168
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 -0.220000 0.000000 0.000000 1.000000  0.05150554 0.04752371 0.04237315
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 -0.220000 0.000000 0.000000 1.000000  0.02431460 0.02188313 0.01945168
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 -0.220000 0.000000 0.000000 1.000000  0.04003445 0.03712239 0.03311895
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 -0.220000 0.000000 0.000000 1.000000  0.01328043 0.01195935 0.01063130
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 -0.220000 0.000000 0.000000 1.000000  0.00962012 0.00867060 0.00770859
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 -0.220000 0.000000 0.000000 1.000000  0.00669696 0.00602980 0.00536011
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 -0.220000 0.000000 0.000000 1.000000  0.00470169 0.00423156 0.00376139
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.000000 0.000000 0.000000 1.000000  0.02033280 0.02298358 0.02798544
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.000000 0.000000 0.000000 1.000000  0.03201994 0.03641807 0.04463095
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.000000 0.000000 0.000000 1.000000  0.05057322 0.05784750 0.07131140
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.000000 0.000000 0.000000 1.000000  0.08009431 0.09209354 0.11413573
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.000000 0.000000 0.000000 1.000000  0.12716544 0.14691401 0.18295775
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.000000 0.000000 0.000000 1.000000  0.20236297 0.23480295 0.29368281
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.000000 0.000000 0.000000 1.000000  0.62870675 0.69871652 0.79334545
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.000000 0.000000 0.000000 1.000000  0.20236297 0.23480295 0.29368281
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.000000 0.000000 0.000000 1.000000  0.12716544 0.14691401 0.18295775
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.000000 0.000000 0.000000 1.000000  0.08009431 0.09209354 0.11413573
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.000000 0.000000 0.000000 1.000000  0.05057322 0.05784750 0.07131140
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.000000 0.000000 0.000000 1.000000  0.03201994 0.03641807 0.04463095
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.000000 0.000000 0.000000 1.000000  0.02033280 0.02298358 0.02798544
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.220000 0.000000 0.000000 1.000000  0.00470169 0.00423156 0.00376139
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.220000 0.000000 0.000000 1.000000  0.00669696 0.00602980 0.00536011
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.220000 0.000000 0.000000 1.000000  0.00962013 0.00867060 0.00770859
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.220000 0.000000 0.000000 1.000000  0.01328043 0.01195935 0.01063130
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.220000 0.000000 0.000000 1.000000  0.04003445 0.03712239 0.03311895
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.220000 0.000000 0.000000 1.000000  0.02431460 0.02188313 0.01945168
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.220000 0.000000 0.000000 1.000000  0.05150554 0.04752371 0.04237315
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.220000 0.000000 0.000000 1.000000  0.02431460 0.02188313 0.01945168
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.220000 0.000000 0.000000 1.000000  0.01849043 0.01665558 0.01480654
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.220000 0.000000 0.000000 1.000000  0.02383878 0.02198977 0.01960590
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.220000 0.000000 0.000000 1.000000  0.01144823 0.01040731 0.00926248
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.220000 0.000000 0.000000 1.000000  0.00683077 0.00615693 0.00547385
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.220000 0.000000 0.000000 1.000000  0.00471123 0.00424063 0.00376950
