# variety ghosts halo streak chroma intensity  u v sunU sunV visibility  r g b
# generated by Project-Zero; checked against the reference lensFlare() by CheckLensFlare.py
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 -0.440000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 -0.440000 0.000000 0.000000 1.000000  0.01978412 0.01780570 0.01582729
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 -0.440000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 -0.440000 0.000000 0.000000 1.000000  0.01477997 0.01330198 0.01182398
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 -0.440000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 -0.440000 0.000000 0.000000 1.000000  0.00828700 0.00745830 0.00662960
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 -0.440000 0.000000 0.000000 1.000000  0.00600926 0.00540833 0.00480741
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 -0.440000 0.000000 0.000000 1.000000  0.00431732 0.00388559 0.00345386
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 -0.220000 0.000000 0.000000 1.000000  0.00470087 0.00423078 0.00376069
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 -0.220000 0.000000 0.000000 1.000000  0.00664606 0.00598146 0.00531685
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 -0.220000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 -0.220000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 -0.220000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 -0.220000 0.000000 0.000000 1.000000  0.02431458 0.02188312 0.01945167
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 -0.220000 0.000000 0.000000 1.000000  0.02813121 0.02531808 0.02250497
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 -0.220000 0.000000 0.000000 1.000000  0.02431458 0.02188312 0.01945167
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 -0.220000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 -0.220000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 -0.220000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 -0.220000 0.000000 0.000000 1.000000  0.00664606 0.00598146 0.00531685
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 -0.220000 0.000000 0.000000 1.000000  0.00470087 0.00423078 0.00376069
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.000000 0.000000 0.000000 1.000000  0.01026237 0.01087555 0.01231162
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.000000 0.000000 0.000000 1.000000  0.01568014 0.01677218 0.01919936
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.000000 0.000000 0.000000 1.000000  0.02406106 0.02597101 0.03004733
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.000000 0.000000 0.000000 1.000000  0.03707696 0.04037230 0.04718268
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.000000 0.000000 0.000000 1.000000  0.05736758 0.06299360 0.07432295
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.000000 0.000000 0.000000 1.000000  0.08911233 0.09863780 0.11741720
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.000000 0.000000 0.000000 1.000000  0.13894501 0.15496501 0.18600003
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.000000 0.000000 0.000000 1.000000  0.08911233 0.09863780 0.11741720
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.000000 0.000000 0.000000 1.000000  0.05736758 0.06299360 0.07432295
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.000000 0.000000 0.000000 1.000000  0.03707696 0.04037230 0.04718268
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.000000 0.000000 0.000000 1.000000  0.02406106 0.02597101 0.03004733
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.000000 0.000000 0.000000 1.000000  0.01568014 0.01677218 0.01919936
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.000000 0.000000 0.000000 1.000000  0.01026237 0.01087555 0.01231162
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.220000 0.000000 0.000000 1.000000  0.00470087 0.00423078 0.00376069
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.220000 0.000000 0.000000 1.000000  0.00664606 0.00598146 0.00531685
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.220000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.220000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.220000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.220000 0.000000 0.000000 1.000000  0.02431458 0.02188312 0.01945167
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.220000 0.000000 0.000000 1.000000  0.02813121 0.02531808 0.02250497
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.220000 0.000000 0.000000 1.000000  0.02431458 0.02188312 0.01945167
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.220000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.220000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.220000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.220000 0.000000 0.000000 1.000000  0.00664606 0.00598146 0.00531685
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.220000 0.000000 0.000000 1.000000  0.00470087 0.00423078 0.00376069
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.440000 0.000000 0.000000 1.000000  0.00431732 0.00388559 0.00345386
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.440000 0.000000 0.000000 1.000000  0.00600926 0.00540833 0.00480741
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.440000 0.000000 0.000000 1.000000  0.00828700 0.00745830 0.00662960
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.440000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.440000 0.000000 0.000000 1.000000  0.01477997 0.01330198 0.01182398
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.440000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.440000 0.000000 0.000000 1.000000  0.01978412 0.01780570 0.01582729
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.440000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.440000 0.000000 0.000000 1.000000  0.01477997 0.01330198 0.01182398
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.440000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.440000 0.000000 0.000000 1.000000  0.00828700 0.00745830 0.00662960
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.440000 0.000000 0.000000 1.000000  0.00600926 0.00540833 0.00480741
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.440000 0.000000 0.000000 1.000000  0.00431732 0.00388559 0.00345386
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.660000 0.000000 0.000000 1.000000  0.00377195 0.00339475 0.00301756
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.660000 0.000000 0.000000 1.000000  0.00513656 0.00462291 0.00410925
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.660000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.660000 0.000000 0.000000 1.000000  0.00898422 0.00808580 0.00718738
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.660000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.660000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.660000 0.000000 0.000000 1.000000  0.01391378 0.01252240 0.01113102
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.660000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.660000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.660000 0.000000 0.000000 1.000000  0.00898422 0.00808580 0.00718738
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.660000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.660000 0.000000 0.000000 1.000000  0.00513656 0.00462291 0.00410925
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.660000 0.000000 0.000000 1.000000  0.00377195 0.00339475 0.00301756
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.880000 0.000000 0.000000 1.000000  0.00316000 0.00284400 0.00252800
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.880000 0.000000 0.000000 1.000000  0.00419956 0.00377960 0.00335965
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.880000 0.000000 0.000000 1.000000  0.00546119 0.00491507 0.00436895
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.880000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.880000 0.000000 0.000000 1.000000  0.00828700 0.00745830 0.00662960
3.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.880000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.880000 0.000000 0.000000 1.000000  0.00978528 0.00880675 0.00782823
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.880000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.880000 0.000000 0.000000 1.000000  0.00828700 0.00745830 0.00662960
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.880000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
3.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.880000 0.000000 0.000000 1.000000  0.00546119 0.00491507 0.00436895
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.880000 0.000000 0.000000 1.000000  0.00419956 0.00377960 0.00335965
3.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.880000 0.000000 0.000000 1.000000  0.00316000 0.00284400 0.00252800
